Country,Level,Date
"""Syria""","""Level 4: Do Not Travel""","""11/4/2019"""
"""Somalia""","""Level 4: Do Not Travel""","""10/28/2019"""
"""Afghanistan""","""Level 4: Do Not Travel""","""10/22/2019"""
"""North Korea (Democratic People's Republic of Korea)""","""Level 4: Do Not Travel""","""7/10/2019"""
"""Iraq""","""Level 4: Do Not Travel""","""5/15/2019"""
"""Yemen""","""Level 4: Do Not Travel""","""4/9/2019"""
"""Venezuela""","""Level 4: Do Not Travel""","""4/9/2019"""
"""South Sudan""","""Level 4: Do Not Travel""","""4/9/2019"""
"""Mali""","""Level 4: Do Not Travel""","""4/9/2019"""
"""Libya""","""Level 4: Do Not Travel""","""4/9/2019"""
"""Iran""","""Level 4: Do Not Travel""","""4/9/2019"""
"""Central African Republic""","""Level 4: Do Not Travel""","""4/9/2019"""
